Company,TypeName,Ram,Gpu,OpSys,Weight,PPI,SSD_GB,Cpu_Family,Cpu_Clockspeed,target
HP,2 in 1 Convertible,8,Intel HD Graphics 620,Windows 10,1.58,117.83,256,Core i5,2.5,836.6
Dell,Notebook,4,Intel HD Graphics 620,Windows 10,2.18,100.45,0,Core i3,2.4,586.6
Lenovo,Ultrabook,8,Nvidia GeForce GT 940MX,Windows 10,1.7,209.8,512,Core i7,2.8,1943
Lenovo,2 in 1 Convertible,4,Intel HD Graphics 400,Android,0.69,224.17,0,Atom,1.44,549
Dell,Notebook,4,Intel HD Graphics 620,Windows 10,1.93,100.45,0,Core i5,2.6,959
Asus,Gaming,8,Nvidia GeForce GTX 1060,Windows 10,2.7,127.34,256,Core i7,2.8,1599
MSI,Gaming,8,Nvidia GeForce GTX 1060,Windows 10,2.7,127.34,128,Core i7,2.8,1409
Lenovo,Notebook,8,Intel HD Graphics 620,Windows 10,1.95,141.21,256,Core i5,2.5,1390
Dell,Notebook,4,Intel HD Graphics,Linux,2.2,100.45,0,Pentium Quad Core,1.6,324
HP,2 in 1 Convertible,4,Intel HD Graphics 500,Chrome OS,1.4,135.09,0,Celeron Dual Core,1.1,615
Dell,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,4.42,127.34,256,Core i7,2.8,2699
Acer,Notebook,4,Intel HD Graphics 520,Windows 10,2.4,100.45,0,Core i3,2,450
Dell,Notebook,8,Intel HD Graphics 620,Windows 10,1.9,141.21,256,Core i5,2.8,1377
Dell,Notebook,8,AMD Radeon R5 M430,Linux,2.2,141.21,256,Core i7,2.7,749.01
HP,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.34,276.05,256,Core i7,2.7,1145
Dell,Notebook,8,Intel HD Graphics 520,Windows 10,1.56,157.35,256,Core i5,2.4,1229
Lenovo,Notebook,4,Nvidia GeForce 920MX,Windows 10,2.79,106.11,0,Core i5,2.5,589
Lenovo,Notebook,4,Intel HD Graphics 520,Windows 10,2.1,100.45,0,Core i3,2,489.9
Lenovo,Gaming,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,141.21,128,Core i7,2.8,1249
Lenovo,Notebook,8,Nvidia GeForce 920MX,No OS,2.2,141.21,0,Core i7,2.7,685
Lenovo,Notebook,4,Intel HD Graphics 520,No OS,1.85,141.21,128,Core i3,2,403.5
HP,Notebook,8,Nvidia GeForce GTX 930MX,Windows 10,2.1,141.21,256,Core i5,1.6,879
Chuwi,Notebook,4,Intel HD Graphics,Windows 10,1.89,141.21,0,Atom,1.44,244.99
Asus,Notebook,8,Nvidia GeForce GTX 950M,No OS,2.69,127.34,128,Core i7,2.7,889
HP,2 in 1 Convertible,8,Intel HD Graphics 620,Windows 10,1.28,165.63,256,Core i7,2.8,2559
Lenovo,Notebook,4,Intel HD Graphics 500,No OS,1.9,100.45,0,Celeron Dual Core,1.1,252.36
Lenovo,Notebook,8,Intel HD Graphics 620,Windows 10,1.1,165.63,256,Core i5,2.5,999
Dell,Notebook,4,Intel HD Graphics,Windows 10,2.25,141.21,0,Core i5,2.5,559
Dell,Notebook,4,Intel HD Graphics 520,Linux,2.18,100.45,0,Core i5,2.5,521.86
Asus,Notebook,4,Intel HD Graphics,Windows 10,2.2,100.45,0,Celeron Dual Core,1.6,369
Asus,Notebook,4,Intel HD Graphics 620,Windows 10,2,100.45,0,Core i3,2.4,435
HP,Notebook,6,AMD Radeon R7 M440,Windows 10,2.04,141.21,0,A9-Series,2.9,549.99
Asus,Notebook,8,Intel HD Graphics 620,Windows 10,2.37,141.21,0,Core i5,2.5,749
Apple,Ultrabook,16,AMD Radeon Pro 455,macOS,1.83,220.53,512,Core i7,2.7,2537.45
Dell,Ultrabook,8,Intel Iris Plus Graphics 640,Windows 10,1.23,276.05,256,Core i7,2.4,1379
Lenovo,Notebook,4,AMD Radeon R2 Graphics,Windows 10,2.2,100.45,128,E-Series,2.2,349
Asus,Gaming,16,Nvidia GeForce GTX 980M,Windows 10,4.3,127.34,128,Core i7,2.6,2299
Dell,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.56,141.21,0,Core i5,2.5,819
Lenovo,2 in 1 Convertible,8,Intel HD Graphics 620,Windows 10,1.37,165.63,512,Core i5,2.5,1825
Asus,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,2.9,127.34,256,Core i7,2.8,2419
